Participant ID,Trial Number,Response,Correctness,Start Timestamp,End Timestamp,Reaction Time,Sample Number,Sample Order,Sample Time,Comparison Time,Condition,Path,Foil
1,11,right,True,2023-09-18 08:33:24.751,2023-09-18 08:33:31.114,6.363,29,right,7000,14000,V,"[(2, 2), (1, 2), (1, 1), (2, 1), (2, 0), (3, 0), (3, 1), (3, 2), (4, 4)]","[(2, 2), (1, 2), (1, 1), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (4, 4)]"
1,12,right,False,2023-09-18 08:33:48.148,2023-09-18 08:34:00.124,11.976,21,left,7000,14000,V,"[(0, 4), (0, 3), (1, 3), (1, 2), (2, 2), (2, 1), (1, 1), (0, 1), (3, 1)]","[(0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (2, 1), (1, 1), (0, 1), (3, 1)]"
1,13,right,True,2023-09-18 08:34:17.158,2023-09-18 08:34:23.210,6.052,27,right,7000,14000,V,"[(0, 4), (0, 3), (1, 3), (1, 2), (2, 2), (2, 1), (1, 1), (1, 0), (4, 0)]","[(0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (2, 1), (1, 1), (1, 0), (4, 0)]"
1,14,left,True,2023-09-18 08:34:40.246,2023-09-18 08:34:47.364,7.118,57,left,7000,14000,V,"[(4, 1), (4, 2), (3, 2), (3, 3), (2, 3), (2, 2), (1, 2), (0, 2), (0, 3)]","[(4, 1), (4, 2), (4, 3), (3, 3), (2, 3), (2, 2), (1, 2), (0, 2), (0, 3)]"
1,15,left,True,2023-09-18 08:35:04.400,2023-09-18 08:35:11.351,6.951,85,left,7000,14000,V,"[(2, 1), (2, 0), (3, 0), (3, 1), (4, 1), (4, 2), (3, 2), (2, 2), (4, 3)]","[(2, 1), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (4, 3)]"
1,16,right,True,2023-09-18 08:40:50.823,2023-09-18 08:41:00.008,9.185,6,right,7000,14000,H,"[(4, 4), (4, 3), (3, 3), (3, 2), (2, 2), (2, 3), (1, 3), (1, 2), (1, 1)]","[(4, 4), (4, 3), (4, 2), (3, 2), (2, 2), (2, 3), (1, 3), (1, 2), (1, 1)]"
1,17,left,True,2023-09-18 08:41:17.043,2023-09-18 08:41:23.349,6.306,38,left,7000,14000,H,"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (1, 4), (4, 2)]","[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (1, 2), (1, 3), (1, 4), (4, 2)]"
1,18,right,True,2023-09-18 08:41:40.385,2023-09-18 08:41:46.125,5.74,82,right,7000,14000,H,"[(1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (3, 1), (4, 1), (4, 0), (0, 3)]","[(1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (3, 1), (4, 1), (4, 2), (0, 3)]"
1,19,right,False,2023-09-18 08:42:03.160,2023-09-18 08:42:07.591,4.431,14,left,7000,14000,H,"[(0, 3), (0, 4), (1, 4), (1, 3), (2, 3), (2, 2), (3, 2), (3, 3), (0, 0)]","[(0, 3), (0, 4), (1, 4), (2, 4), (2, 3), (2, 2), (3, 2), (3, 3), (0, 0)]"
1,20,left,False,2023-09-18 08:42:24.628,2023-09-18 08:42:32.934,8.306,32,right,7000,14000,H,"[(0, 4), (1, 4), (1, 3), (2, 3), (2, 4), (3, 4), (3, 3), (3, 2), (4, 2)]","[(0, 4), (1, 4), (1, 3), (2, 3), (2, 4), (3, 4), (3, 3), (4, 3), (4, 2)]"
1,21,right,True,2023-09-18 08:42:49.969,2023-09-18 08:42:53.179,3.21,11,right,7000,14000,V,"[(1, 0), (1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (0, 3), (0, 2), (4, 3)]","[(1, 0), (1, 1), (2, 1), (2, 2), (2, 3), (1, 3), (0, 3), (0, 2), (4, 3)]"
1,22,left,True,2023-09-18 08:43:10.212,2023-09-18 08:43:18.141,7.929,20,left,7000,14000,V,"[(0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (2, 2), (3, 2), (4, 2), (0, 0)]","[(0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (2, 2), (3, 2), (4, 2), (1, 0)]"
1,23,left,True,2023-09-18 08:43:35.177,2023-09-18 08:43:42.451,7.274,68,left,7000,14000,V,"[(0, 3), (0, 2), (1, 2), (1, 3), (2, 3), (2, 4), (1, 4), (0, 4), (4, 4)]","[(0, 3), (0, 2), (1, 2), (2, 2), (2, 3), (2, 4), (1, 4), (0, 4), (4, 4)]"
1,24,right,True,2023-09-18 08:43:59.488,2023-09-18 08:44:03.261,3.773,83,right,7000,14000,V,"[(3, 2), (4, 2), (4, 3), (3, 3), (3, 4), (2, 4), (2, 3), (2, 2), (0, 3)]","[(3, 2), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4), (2, 3), (2, 2), (0, 3)]"
1,25,right,True,2023-09-18 08:44:20.298,2023-09-18 08:44:26.795,6.497,74,right,7000,14000,V,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (4, 4)]","[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (4, 4)]"
1,26,left,True,2023-09-18 08:44:43.828,2023-09-18 08:44:59.524,15.696,65,left,7000,14000,VH,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1), (4, 1), (3, 3)]","[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (3, 0), (3, 1), (4, 1), (3, 3)]"
1,27,right,True,2023-09-18 08:45:16.559,2023-09-18 08:45:19.868,3.309,52,right,7000,14000,VH,"[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (3, 1), (4, 1), (0, 4)]","[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (3, 1), (2, 1), (0, 4)]"
1,28,left,True,2023-09-18 08:45:36.902,2023-09-18 08:45:46.445,9.543,66,left,7000,14000,VH,"[(3, 0), (4, 0), (4, 1), (3, 1), (3, 2), (4, 2), (4, 3), (3, 3), (2, 2)]","[(3, 0), (4, 0), (4, 1), (3, 1), (3, 2), (4, 2), (4, 3), (4, 4), (2, 2)]"
1,29,right,True,2023-09-18 08:46:03.478,2023-09-18 08:46:06.264,2.786,9,right,7000,14000,VH,"[(3, 2), (4, 2), (4, 1), (3, 1), (3, 0), (2, 0), (2, 1), (2, 2), (3, 3)]","[(3, 2), (4, 2), (4, 1), (4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (3, 3)]"
1,30,left,True,2023-09-18 08:46:23.300,2023-09-18 08:46:27.575,4.275,45,left,7000,14000,VH,"[(0, 3), (0, 4), (1, 4), (1, 3), (2, 3), (2, 4), (3, 4), (4, 4), (3, 0)]","[(0, 3), (0, 4), (1, 4), (1, 3), (2, 3), (3, 3), (3, 4), (4, 4), (3, 0)]"
1,31,right,True,2023-09-18 08:51:28.158,2023-09-18 08:51:33.388,5.23,15,right,7000,14000,V,"[(4, 3), (4, 2), (3, 2), (3, 3), (2, 3), (2, 4), (1, 4), (0, 4), (1, 0)]","[(4, 3), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (1, 4), (0, 4), (1, 0)]"
1,32,left,False,2023-09-18 08:51:50.424,2023-09-18 08:52:05.321,14.897,70,right,7000,14000,V,"[(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3), (0, 3), (3, 1)]","[(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3), (0, 3), (3, 2)]"
1,33,left,True,2023-09-18 08:52:22.354,2023-09-18 08:52:27.529,5.175,78,left,7000,14000,V,"[(3, 2), (4, 2), (4, 3), (3, 3), (3, 4), (2, 4), (2, 3), (1, 3), (1, 1)]","[(3, 2), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4), (2, 3), (1, 3), (1, 1)]"
1,34,right,True,2023-09-18 08:52:44.563,2023-09-18 08:52:48.772,4.209,25,right,7000,14000,V,"[(0, 3), (0, 2), (1, 2), (1, 3), (2, 3), (2, 2), (3, 2), (3, 1), (0, 0)]","[(0, 3), (0, 2), (1, 2), (1, 3), (2, 3), (3, 3), (3, 2), (3, 1), (0, 0)]"
1,35,right,False,2023-09-18 08:53:05.807,2023-09-18 08:53:12.462,6.655,60,left,7000,14000,V,"[(3, 1), (3, 2), (4, 2), (4, 3), (3, 3), (3, 4), (2, 4), (2, 3), (0, 3)]","[(3, 1), (3, 2), (4, 2), (4, 3), (3, 3), (3, 4), (2, 4), (2, 3), (1, 3)]"
1,36,left,False,2023-09-18 08:53:29.494,2023-09-18 08:53:36.182,6.688,80,right,7000,14000,VH,"[(4, 4), (4, 3), (3, 3), (3, 4), (2, 4), (2, 3), (1, 3), (1, 2), (0, 1)]","[(4, 4), (4, 3), (3, 3), (3, 4), (2, 4), (2, 3), (1, 3), (1, 2), (0, 2)]"
1,37,left,True,2023-09-18 08:53:53.204,2023-09-18 08:53:59.244,6.04,63,left,7000,14000,VH,"[(0, 3), (1, 3), (1, 2), (0, 2), (0, 1), (1, 1), (1, 0), (0, 0), (2, 4)]","[(0, 3), (1, 3), (1, 2), (0, 2), (0, 1), (1, 1), (1, 0), (2, 0), (2, 4)]"
1,38,right,True,2023-09-18 08:54:16.279,2023-09-18 08:54:18.421,2.142,42,right,7000,14000,VH,"[(0, 3), (0, 4), (1, 4), (1, 3), (2, 3), (2, 2), (3, 2), (3, 3), (4, 2)]","[(0, 3), (0, 4), (1, 4), (2, 4), (2, 3), (2, 2), (3, 2), (3, 3), (4, 2)]"
1,39,right,True,2023-09-18 08:54:35.457,2023-09-18 08:54:45.186,9.729,12,right,7000,14000,VH,"[(2, 4), (1, 4), (1, 3), (0, 3), (0, 2), (1, 2), (1, 1), (1, 0), (4, 0)]","[(2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (1, 2), (1, 1), (1, 0), (4, 0)]"
1,40,left,True,2023-09-18 08:55:02.221,2023-09-18 08:55:09.551,7.33,7,left,7000,14000,VH,"[(1, 4), (1, 3), (2, 3), (2, 2), (3, 2), (3, 1), (2, 1), (1, 1), (2, 0)]","[(1, 4), (1, 3), (1, 2), (2, 2), (3, 2), (3, 1), (2, 1), (1, 1), (2, 0)]"
1,41,right,True,2023-09-18 08:55:26.588,2023-09-18 08:55:33.895,7.307,22,right,7000,14000,H,"[(4, 0), (3, 0), (3, 1), (2, 1), (2, 0), (1, 0), (1, 1), (1, 2), (3, 4)]","[(4, 0), (3, 0), (3, 1), (2, 1), (2, 0), (1, 0), (1, 1), (0, 1), (3, 4)]"
1,42,left,True,2023-09-18 08:55:50.929,2023-09-18 08:55:56.449,5.52,5,left,7000,14000,H,"[(1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (2, 4), (1, 4), (0, 2)]","[(1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (0, 2)]"
1,43,left,True,2023-09-18 08:56:13.484,2023-09-18 08:56:19.758,6.274,8,left,7000,14000,H,"[(1, 4), (2, 4), (2, 3), (1, 3), (1, 2), (0, 2), (0, 3), (0, 4), (1, 0)]","[(1, 4), (2, 4), (2, 3), (2, 2), (1, 2), (0, 2), (0, 3), (0, 4), (1, 0)]"
1,44,left,True,2023-09-18 08:56:36.792,2023-09-18 08:56:40.978,4.186,16,left,7000,14000,H,"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (3, 1), (3, 2), (0, 3)]","[(0, 0), (1, 0), (1, 1), (2, 1), (2, 0), (3, 0), (3, 1), (4, 1), (0, 3)]"
1,45,right,True,2023-09-18 08:56:58.014,2023-09-18 08:57:02.323,4.309,1,right,7000,14000,H,"[(4, 2), (4, 3), (3, 3), (3, 2), (2, 2), (2, 1), (1, 1), (1, 0), (0, 1)]","[(4, 2), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (1, 1), (1, 0), (0, 1)]"
1,46,left,True,2023-09-18 09:04:22.474,2023-09-18 09:04:28.438,5.964,30,left,7000,14000,H,"[(1, 4), (0, 4), (0, 3), (1, 3), (1, 2), (0, 2), (0, 1), (0, 0), (4, 0)]","[(1, 4), (0, 4), (0, 3), (1, 3), (1, 2), (0, 2), (0, 1), (0, 0), (3, 0)]"
1,47,left,True,2023-09-18 09:04:45.473,2023-09-18 09:04:51.247,5.774,10,left,7000,14000,H,"[(4, 2), (4, 3), (3, 3), (3, 2), (2, 2), (2, 3), (1, 3), (0, 3), (4, 0)]","[(4, 2), (4, 3), (3, 3), (3, 2), (2, 2), (2, 3), (1, 3), (0, 3), (4, 1)]"
1,48,left,False,2023-09-18 09:05:08.282,2023-09-18 09:05:13.412,5.13,90,right,7000,14000,H,"[(4, 0), (4, 1), (3, 1), (3, 2), (2, 2), (2, 3), (1, 3), (0, 3), (3, 3)]","[(4, 0), (4, 1), (3, 1), (3, 2), (2, 2), (2, 3), (1, 3), (0, 3), (3, 4)]"
1,49,left,True,2023-09-18 09:05:30.447,2023-09-18 09:05:38.002,7.555,53,left,7000,14000,H,"[(1, 4), (2, 4), (2, 3), (3, 3), (3, 2), (4, 2), (4, 1), (4, 0), (1, 0)]","[(1, 4), (2, 4), (3, 4), (3, 3), (3, 2), (4, 2), (4, 1), (4, 0), (1, 0)]"
1,50,right,True,2023-09-18 09:05:55.034,2023-09-18 09:05:59.699,4.665,39,right,7000,14000,H,"[(4, 0), (4, 1), (3, 1), (3, 0), (2, 0), (2, 1), (1, 1), (0, 1), (1, 3)]","[(4, 0), (4, 1), (3, 1), (3, 0), (2, 0), (1, 0), (1, 1), (0, 1), (1, 3)]"
1,51,right,True,2023-09-18 09:06:16.733,2023-09-18 09:06:20.797,4.064,54,right,7000,14000,V,"[(4, 3), (3, 3), (3, 2), (2, 2), (2, 1), (1, 1), (1, 2), (0, 2), (1, 3)]","[(4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (1, 1), (1, 2), (0, 2), (1, 3)]"
1,52,right,True,2023-09-18 09:06:37.820,2023-09-18 09:06:41.330,3.51,71,right,7000,14000,V,"[(0, 1), (1, 1), (1, 2), (2, 2), (2, 1), (3, 1), (3, 0), (4, 0), (0, 4)]","[(0, 1), (1, 1), (1, 2), (2, 2), (3, 2), (3, 1), (3, 0), (4, 0), (0, 4)]"
1,53,left,True,2023-09-18 09:06:58.363,2023-09-18 09:07:03.106,4.743,76,left,7000,14000,V,"[(1, 3), (2, 3), (2, 2), (3, 2), (3, 1), (2, 1), (2, 0), (3, 0), (1, 4)]","[(1, 3), (2, 3), (3, 3), (3, 2), (3, 1), (2, 1), (2, 0), (3, 0), (1, 4)]"
1,54,left,True,2023-09-18 09:07:20.140,2023-09-18 09:07:28.347,8.207,34,left,7000,14000,V,"[(0, 2), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (3, 3), (3, 2), (4, 0)]","[(0, 2), (1, 2), (2, 2), (2, 3), (2, 4), (3, 4), (3, 3), (3, 2), (4, 0)]"
1,55,left,True,2023-09-18 09:07:45.383,2023-09-18 09:07:51.702,6.319,84,left,7000,14000,V,"[(2, 0), (1, 0), (1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (1, 4), (0, 3)]","[(2, 0), (1, 0), (1, 1), (2, 1), (2, 2), (2, 3), (1, 3), (1, 4), (0, 3)]"
1,56,right,False,2023-09-18 09:08:08.736,2023-09-18 09:08:15.322,6.586,41,left,7000,14000,VH,"[(1, 0), (1, 1), (2, 1), (2, 2), (3, 2), (3, 1), (4, 1), (4, 0), (2, 3)]","[(1, 0), (1, 1), (1, 2), (2, 2), (3, 2), (3, 1), (4, 1), (4, 0), (2, 3)]"
1,57,right,True,2023-09-18 09:08:32.358,2023-09-18 09:08:38.245,5.887,40,right,7000,14000,VH,"[(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3), (0, 3), (4, 3)]","[(0, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3), (0, 3), (3, 3)]"
1,58,right,True,2023-09-18 09:08:55.278,2023-09-18 09:08:58.542,3.264,4,right,7000,14000,VH,"[(4, 3), (4, 2), (3, 2), (3, 3), (2, 3), (2, 2), (1, 2), (1, 3), (4, 4)]","[(4, 3), (4, 2), (3, 2), (3, 3), (2, 3), (2, 2), (1, 2), (0, 2), (4, 4)]"
1,59,right,True,2023-09-18 09:09:15.577,2023-09-18 09:09:18.918,3.341,13,right,7000,14000,VH,"[(4, 1), (4, 0), (3, 0), (3, 1), (2, 1), (2, 2), (3, 2), (3, 3), (0, 3)]","[(4, 1), (4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (3, 2), (3, 3), (0, 3)]"
1,60,left,True,2023-09-18 09:09:35.954,2023-09-18 09:09:41.817,5.863,2,left,7000,14000,VH,"[(4, 1), (4, 2), (3, 2), (3, 1), (2, 1), (2, 2), (1, 2), (1, 1), (4, 3)]","[(4, 1), (4, 2), (3, 2), (3, 1), (2, 1), (2, 2), (1, 2), (0, 2), (4, 3)]"
1,61,right,False,2023-09-18 09:16:18.605,2023-09-18 09:16:23.925,5.32,61,left,7000,14000,H,"[(2, 3), (3, 3), (3, 2), (2, 2), (2, 1), (3, 1), (3, 0), (2, 0), (1, 1)]","[(2, 3), (3, 3), (3, 2), (2, 2), (2, 1), (3, 1), (3, 0), (4, 0), (1, 1)]"
1,62,right,True,2023-09-18 09:16:40.960,2023-09-18 09:16:48.622,7.662,59,right,7000,14000,H,"[(0, 4), (0, 3), (1, 3), (1, 4), (2, 4), (2, 3), (3, 3), (3, 2), (2, 1)]","[(0, 4), (0, 3), (1, 3), (1, 4), (2, 4), (3, 4), (3, 3), (3, 2), (2, 1)]"
1,63,left,True,2023-09-18 09:17:05.658,2023-09-18 09:17:12.124,6.466,19,left,7000,14000,H,"[(4, 4), (4, 3), (3, 3), (3, 2), (2, 2), (2, 1), (3, 1), (3, 0), (0, 0)]","[(4, 4), (4, 3), (4, 2), (3, 2), (2, 2), (2, 1), (3, 1), (3, 0), (0, 0)]"
1,64,right,True,2023-09-18 09:17:29.157,2023-09-18 09:17:33.354,4.197,86,right,7000,14000,H,"[(2, 3), (2, 2), (3, 2), (3, 3), (4, 3), (4, 4), (3, 4), (2, 4), (2, 0)]","[(2, 3), (2, 2), (3, 2), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4), (2, 0)]"
1,65,right,True,2023-09-18 09:17:50.388,2023-09-18 09:17:54.441,4.053,33,right,7000,14000,H,"[(4, 2), (4, 3), (3, 3), (3, 2), (2, 2), (2, 3), (1, 3), (1, 4), (0, 1)]","[(4, 2), (4, 3), (3, 3), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (0, 1)]"
1,66,right,False,2023-09-18 09:18:11.476,2023-09-18 09:18:20.139,8.663,87,left,7000,14000,V,"[(4, 1), (4, 2), (3, 2), (3, 1), (2, 1), (2, 2), (1, 2), (1, 1), (2, 0)]","[(4, 1), (4, 2), (3, 2), (3, 1), (2, 1), (2, 2), (1, 2), (0, 2), (2, 0)]"
1,67,right,True,2023-09-18 09:18:37.175,2023-09-18 09:18:42.226,5.051,23,right,7000,14000,V,"[(4, 2), (4, 1), (3, 1), (3, 2), (2, 2), (2, 1), (1, 1), (1, 0), (2, 0)]","[(4, 2), (4, 1), (3, 1), (3, 2), (2, 2), (1, 2), (1, 1), (1, 0), (2, 0)]"
1,68,right,True,2023-09-18 09:18:59.263,2023-09-18 09:19:05.013,5.75,77,right,7000,14000,V,"[(1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (2, 4), (1, 4), (4, 3)]","[(1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (2, 4), (3, 4), (4, 3)]"
1,69,left,True,2023-09-18 09:19:22.049,2023-09-18 09:19:24.608,2.559,67,left,7000,14000,V,"[(0, 2), (0, 3), (1, 3), (1, 2), (2, 2), (2, 1), (1, 1), (1, 0), (0, 4)]","[(0, 2), (0, 3), (1, 3), (2, 3), (2, 2), (2, 1), (1, 1), (1, 0), (0, 4)]"
1,70,right,True,2023-09-18 09:19:41.648,2023-09-18 09:19:47.067,5.419,51,right,7000,14000,V,"[(2, 0), (1, 0), (1, 1), (2, 1), (2, 2), (3, 2), (3, 1), (4, 1), (0, 3)]","[(2, 0), (1, 0), (1, 1), (1, 2), (2, 2), (3, 2), (3, 1), (4, 1), (0, 3)]"
1,71,left,True,2023-09-18 09:20:04.103,2023-09-18 09:20:07.321,3.218,48,left,7000,14000,VH,"[(2, 3), (2, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (2, 2), (0, 1)]","[(2, 3), (2, 4), (3, 4), (4, 4), (4, 3), (4, 2), (3, 2), (2, 2), (0, 1)]"
1,72,right,True,2023-09-18 09:20:24.356,2023-09-18 09:20:28.797,4.441,35,right,7000,14000,VH,"[(4, 4), (4, 3), (3, 3), (3, 4), (2, 4), (2, 3), (1, 3), (0, 3), (1, 2)]","[(4, 4), (4, 3), (3, 3), (3, 4), (2, 4), (1, 4), (1, 3), (0, 3), (1, 2)]"
1,73,left,True,2023-09-18 09:20:45.833,2023-09-18 09:20:47.963,2.13,17,left,7000,14000,VH,"[(1, 0), (2, 0), (2, 1), (1, 1), (1, 2), (2, 2), (2, 3), (3, 3), (0, 1)]","[(1, 0), (2, 0), (2, 1), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (0, 1)]"
1,74,right,True,2023-09-18 09:21:04.998,2023-09-18 09:21:10.039,5.041,36,right,7000,14000,VH,"[(2, 3), (2, 4), (1, 4), (1, 3), (0, 3), (0, 2), (1, 2), (2, 2), (2, 0)]","[(2, 3), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (1, 2), (2, 2), (2, 0)]"
1,75,left,True,2023-09-18 09:21:27.076,2023-09-18 09:21:33.827,6.751,75,left,7000,14000,VH,"[(0, 4), (1, 4), (1, 3), (2, 3), (2, 4), (3, 4), (3, 3), (4, 3), (3, 1)]","[(0, 4), (1, 4), (1, 3), (2, 3), (2, 4), (3, 4), (3, 3), (3, 2), (3, 1)]"
1,76,left,True,2023-09-18 09:26:38.432,2023-09-18 09:26:43.741,5.309,56,left,7000,14000,H,"[(2, 0), (1, 0), (1, 1), (0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (3, 4)]","[(2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (2, 3), (3, 4)]"
1,77,left,False,2023-09-18 09:27:00.775,2023-09-18 09:27:05.438,4.663,18,right,7000,14000,H,"[(4, 1), (3, 1), (3, 2), (4, 2), (4, 3), (3, 3), (3, 4), (2, 4), (2, 2)]","[(4, 1), (3, 1), (3, 2), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4), (2, 2)]"
1,78,right,False,2023-09-18 09:27:22.474,2023-09-18 09:27:28.883,6.409,44,left,7000,14000,H,"[(4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2), (4, 0)]","[(4, 3), (4, 4), (3, 4), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (4, 0)]"
1,79,right,True,2023-09-18 09:27:45.916,2023-09-18 09:27:51.357,5.441,55,right,7000,14000,H,"[(3, 4), (4, 4), (4, 3), (3, 3), (3, 2), (4, 2), (4, 1), (4, 0), (2, 2)]","[(3, 4), (4, 4), (4, 3), (3, 3), (3, 2), (3, 1), (4, 1), (4, 0), (2, 2)]"
1,80,left,True,2023-09-18 09:28:08.393,2023-09-18 09:28:12.600,4.207,37,left,7000,14000,H,"[(4, 0), (4, 1), (3, 1), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3), (2, 1)]","[(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3), (2, 1)]"
1,81,left,True,2023-09-18 09:28:29.635,2023-09-18 09:28:34.343,4.708,81,left,7000,14000,VH,"[(4, 0), (4, 1), (3, 1), (3, 2), (4, 2), (4, 3), (3, 3), (3, 4), (1, 3)]","[(4, 0), (4, 1), (3, 1), (3, 2), (4, 2), (4, 3), (3, 3), (2, 3), (1, 3)]"
